instance_id,scenario_set,n_stocks,n_scenarios,industry_shape,return_dist,corr_structure,beta_dist,mu_beta_corr,price_dist,w0_mode,stress_combo,K,cvar_max,n_lot_infeasible,opt_objective,opt_status,opt_relaxed,opt_runtime_s,opt_relaxation_log,default_objective,default_status,default_runtime_s,default_gap_pct,heuristic_objective,heuristic_feasible,heuristic_runtime_s,heuristic_gap_pct,heuristic_n_holdings,topk_objective,topk_feasible,topk_runtime_s,topk_gap_pct,topk_violations,heuristic_beats_topk,error
SYN_011_dist_t_block,S2,50,250,5_balanced,t,block,tight,0.0,uniform,cold,normal,20,0.04,0,1.4613261288868,Optimal,False,0.08133062499109656,,1.4613261288868,Optimal,0.07812004198785871,0.0,1.461326126358144,True,0.11278875009156764,1.7303844099613727e-07,20,1.461326126358144,True,0.00012741598766297102,1.7303844099613727e-07,,True,
SYN_012_dist_t_factor,S2,50,250,5_balanced,t,factor,tight,0.0,uniform,cold,normal,20,0.04,0,1.0084652359042072,Optimal,False,0.08228308404795825,,1.0084652359042072,Optimal,0.08170087495818734,0.0,1.0084652351473053,True,0.20108420902397484,7.505483060420142e-08,20,1.007674484382916,True,0.00013154197949916124,0.07841138128894101,,True,
SYN_013_dist_bootstrap_independent,S2,50,250,5_balanced,bootstrap,independent,tight,0.0,uniform,cold,normal,20,0.04,0,1.6265037745499844,Optimal,False,0.08227462496142834,,1.6265037745499844,Optimal,0.08246816706378013,0.0,1.6265037735420729,True,0.21587858302518725,6.196797989557174e-08,20,1.6262222249913112,True,0.00012504204642027617,0.017310107918508153,,True,
SYN_014_dist_bootstrap_block,S2,50,250,5_balanced,bootstrap,block,tight,0.0,uniform,cold,normal,20,0.04,0,1.0922007816379165,Optimal,False,0.08128762489650398,,1.0922007816379165,Optimal,0.08036237501073629,0.0,1.0922007834901661,True,0.29990974999964237,-1.6958875310311165e-07,20,1.088738484078678,True,0.0001325829653069377,0.31700193018047557,,True,
SYN_015_dist_bootstrap_factor,S2,50,250,5_balanced,bootstrap,factor,tight,0.0,uniform,cold,normal,20,0.04,0,1.7973373899428535,Optimal,False,0.09132695791777223,,1.7973373899428535,Optimal,0.09622991702053696,0.0,1.7973373890696505,True,0.4824078750098124,4.858314695372414e-08,20,1.7749063666903293,True,0.00013104092795401812,1.2480140555712478,,True,
SYN_016_beta_wide,S3,50,250,5_balanced,gaussian,block,wide,0.0,uniform,cold,normal,20,0.04,0,1.0778681817892377,Optimal,False,0.07815562502946705,,1.0778681817892377,Optimal,0.0757173749152571,0.0,1.0778681819409648,True,0.4667264580493793,-1.4076589133218396e-08,20,1.0673144423440604,True,0.00013020902406424284,0.9791308087096854,,True,
SYN_017_mu_beta_pos,S3,50,250,5_balanced,gaussian,block,tight,0.5,uniform,cold,normal,20,0.04,0,1.304454681660561,Optimal,False,0.07609899993985891,,1.304454681660561,Optimal,0.08124483306892216,0.0,1.3044546804685062,True,0.19368525000754744,9.138338924258685e-08,20,1.302777421531328,True,0.00013429101090878248,0.1285794096808372,,True,
SYN_018_mu_beta_neg,S3,50,250,5_balanced,gaussian,block,tight,-0.5,uniform,cold,normal,20,0.04,0,1.4741214281719577,Optimal,False,0.0879092919640243,,1.4741214281719577,Optimal,0.07957775006070733,0.0,1.4741214252455408,True,0.19412666698917747,1.9851939132477204e-07,20,1.4704078627650186,True,0.0001277080737054348,0.25191719867638557,,True,
SYN_019_ind_concentrated,S3,50,250,5_concentrated,gaussian,block,tight,0.0,uniform,cold,normal,20,0.04,0,1.1883297579347565,Optimal,False,0.0832315000006929,,1.1883297579347565,Optimal,0.08419512503314763,0.0,1.1883297596448807,True,0.8630199170438573,-1.4390990825579236e-07,20,1.1310509184882265,True,0.00011875003110617399,4.820113193670844,,True,
SYN_020_price_lognormal,S3,50,250,5_balanced,gaussian,block,tight,0.0,lognormal,cold,normal,20,0.04,0,0.9836626711403651,Optimal,False,0.0803639170480892,,0.9836626711403651,Optimal,0.08462924999184906,0.0,0.9836626716878784,True,0.6363239999627694,-5.566067240506456e-08,20,0.9653134762704563,True,0.00011016696225851774,1.8653950595315882,,True,
SYN_021_stress_normal,S4,50,250,5_balanced,t,block,wide,0.0,uniform,cold,normal,20,0.04,0,1.3693422466575507,Optimal,False,0.0773943749954924,,1.3693422466575507,Optimal,0.08742466697003692,0.0,1.3693422456050968,True,0.4298522499157116,7.685835329884604e-08,20,1.3639014456237673,True,0.0001377919688820839,0.3973295242342777,,True,
SYN_022_stress_tight_cvar,S4,50,250,5_balanced,t,block,wide,0.0,uniform,cold,tight_cvar,20,0.008,0,1.533548435789206,Optimal (relaxed),True,0.08942662493791431,  -> Infeasible;放寬限制：cvar,1.533548435789206,Optimal (relaxed),0.09408008307218552,0.0,0.6922203860674496,False,5.793795542092994,54.86152442839446,20,0.6922203860674496,False,0.04922837496269494,54.86152442839446,cvar(0.0173>0.008),True,
SYN_023_stress_tight_industry,S4,50,250,5_balanced,t,block,wide,0.0,uniform,cold,tight_industry,20,0.04,0,1.1154044354385997,Optimal (relaxed),True,0.1494060829281807,  -> Infeasible;放寬限制：cvar;  -> Infeasible;放寬限制：turnover;  -> Infeasible;放寬限制：beta;  -> Infeasible;放寬限制：industry,1.1154044354385997,Optimal (relaxed),0.14071795798372477,0.0,0.7958789622758314,False,0.015458749956451356,28.646602345374784,20,0.7958789622758314,False,0.0002173340180888772,28.646602345374784,budget(Σw=0.7500),True,
SYN_024_stress_infeas_trap,S4,50,250,5_balanced,t,block,wide,0.0,uniform,cold,infeas_trap,20,0.005,0,1.167964529690174,Optimal (relaxed),True,0.1448711670236662,  -> Infeasible;放寬限制：cvar;  -> Infeasible;放寬限制：turnover;  -> Infeasible;放寬限制：beta;  -> Infeasible;放寬限制：industry,1.167964529690174,Optimal (relaxed),0.13978487497661263,0.0,0.6543850451878701,False,0.01336308300960809,43.97218164138436,20,0.6543850451878701,False,0.00041154108475893736,43.97218164138436,budget(Σw=0.6000);beta(0.609>0.6);cvar(0.0170>0.005),True,
SYN_025_warm_20x100,S5,20,100,5_balanced,gaussian,block,tight,0.0,uniform,warm,normal,12,0.04,0,0.8144340025926036,Optimal,False,0.034233791986480355,,0.8144340025926036,Optimal,0.034354666946455836,0.0,0.7768021837174908,True,0.025006040930747986,4.620609988693829,12,0.8209449905147432,False,0.0001038750633597374,-0.7994494214894161,turnover(0.578>0.50),False,
SYN_026_warm_50x250,S5,50,250,5_balanced,gaussian,block,tight,0.0,uniform,warm,normal,18,0.04,0,1.129788310664688,Optimal,False,0.08799729193560779,,1.129788310664688,Optimal,0.09038479207083583,0.0,1.174226574599218,False,0.09840412496123463,-3.9333265811880844,18,1.174226574599218,False,0.0001133340410888195,-3.9333265811880844,turnover(0.816>0.50),True,
SYN_027_warm_100x500,S5,100,500,5_balanced,gaussian,block,tight,0.0,uniform,warm,normal,25,0.04,0,1.484498515825474,Optimal,False,0.22706045804079622,,1.484498515825474,Optimal,0.2024714999133721,0.0,1.605813354137285,False,0.21395629202015698,-8.17210910071893,25,1.605813354137285,False,0.00014245801139622927,-8.17210910071893,turnover(1.045>0.50),True,
